00000000	0
10000000	0
01000000	1
00100000	2
00010000	3
00001000	4
00000100	5
00000010	6
00000001	7
11000000	8
00110000	9
00001100	10
00000011	11
10100000	12
01010000	13
00001010	14
00000101	15
11110000	16
00001111	17
10001000	18
01000100	19
00100010	20
00010001	21
11001100	22
00110011	23
10101010	24
01010101	25
11111111	26
10110000	0,9
10001100	0,10
10000011	0,11
11010000	0,13
10001010	0,14
10000101	0,15
01110000	0,16
10001111	0,17
11000100	0,19
10100010	0,20
10010001	0,21
01001100	0,22
10110011	0,23
00101010	0,24
11010101	0,25
01111111	0,26
01000011	1,11
11100000	1,12
01001010	1,14
01000101	1,15
01001111	1,17
11001000	1,18
01100010	1,20
01010001	1,21
01110011	1,23
11101010	24,1
00010101	1,25
10111111	1,26
00101100	2,10
00100011	2,11
00100101	2,15
00101111	17,2
10101000	2,18
01100100	2,19
00110001	2,21
11101100	2,22
00010011	2,23
01110101	25,2
11011111	2,26
00011100	10,3
00011010	3,14
00011111	17,3
10011000	18,3
01010100	19,3
00110010	3,20
11011100	3,22
10111010	24,3
11101111	26,3
00111000	9,4
00001011	11,4
01011000	4,13
00001101	4,15
11111000	16,4
00000111	17,4
00011001	4,21
00111011	4,23
01011101	25,4
11110111	26,4
00110100	9,5
10100100	12,5
00001110	5,14
11110100	16,5
00100110	20,5
00110111	5,23
10101110	24,5
11111011	26,5
11000010	8,6
01010010	13,6
11110010	16,6
01000110	19,6
11001110	6,22
01010111	25,6
11111101	26,6
11000001	8,7
10100001	12,7
11110001	16,7
10001001	18,7
11001101	22,7
10101011	24,7
11111110	26,7
01100000	8,12
10010000	8,13
11001010	8,14
11000101	8,15
11001111	8,17
01001000	8,18
10000100	8,19
11100010	8,20
11010001	8,21
11110011	8,23
01101010	8,24
10010101	8,25
00111111	8,26
00111010	9,14
00110101	9,15
10111000	9,18
01110100	9,19
00010010	9,20
00100001	9,21
11111100	9,22
10011010	24,9
01100101	9,25
10101100	10,12
01011100	10,13
00000110	10,14
00001001	10,15
00101110	10,20
00011101	10,21
10100110	24,10
01011001	25,10
10100011	11,12
01010011	11,13
10001011	18,11
01000111	19,11
10101001	24,11
01010110	25,11
10101111	17,12
00101000	18,12
11100100	19,12
10000010	12,20
10110001	12,21
01101100	12,22
10010011	12,23
11110101	25,12
01011111	26,12
11011000	18,13
00010100	19,13
01110010	20,13
01000001	21,13
10011100	13,22
01100011	13,23
11111010	24,13
01001110	19,14
00011011	21,14
11000110	14,22
00111001	14,23
10001101	18,15
00100111	20,15
11001001	22,15
00110110	23,15
01111000	16,18
10110100	16,19
11010010	16,20
11100001	16,21
00111100	16,22
11000011	16,23
01011010	16,24
10100101	16,25
10000111	17,18
01001011	17,19
00101101	17,20
00011110	17,21
10111011	18,23
11011101	25,18
01110111	18,26
11101110	24,19
01100110	24,22
10011001	25,22
10110101	0,9,15
10010010	0,9,20
01111100	0,9,22
11100101	0,9,25
10000110	0,10,14
10011101	0,10,21
11011001	0,25,10
11010011	0,11,13
11000111	0,19,11
00101001	0,24,11
11010110	0,25,11
10010100	0,19,13
11100011	0,13,23
01111010	0,24,13
10011011	0,21,14
10111001	0,14,23
10100111	0,20,15
01001001	0,22,15
10110110	0,23,15
01100001	0,16,21
10111100	0,16,22
11011010	0,16,24
11001011	0,17,19
10101101	0,17,20
10011110	0,17,21
01101110	0,24,19
11100110	0,24,22
11101001	24,1,11
00010110	1,11,25
01101000	1,18,12
01011011	1,21,14
01111001	1,14,23
01100111	1,20,15
01110110	1,23,15
01101101	1,20,17
01011110	1,21,17
00111101	2,10,21
01101011	17,2,19
00111110	17,2,21
10010111	17,18,3
01101111	8,17,12
11101000	8,18,12
00100100	8,19,12
01000010	8,12,20
01110001	8,12,21
10011111	8,26,12
00011000	8,18,13
11010100	8,19,13
10110010	8,20,13
10000001	8,21,13
10001110	8,19,14
11011011	8,21,14
11111001	8,14,23
01001101	8,18,15
11100111	8,20,15
11110110	8,23,15
11101101	8,17,20
11011110	8,17,21
01111011	8,18,23
10110111	8,18,26
01111110	9,19,14
00101011	9,21,14
10111101	9,18,15
00010111	9,20,15
11101011	17,19,12
10111110	17,12,21
01111101	25,18,12
11010111	18,26,12
10010110	16,24,22
01101001	16,25,22
